@RELATION nasa.arff

@ATTRIBUTE date DATE "dd-MM-yyyy HH:mm:ss"
@ATTRIBUTE method {GET,HEAD,POST}
@ATTRIBUTE address STRING
@ATTRIBUTE protocol {HTTP/1.0,None,HTTP/V1.0}

@DATA
'30-06-1995 20:04:12',GET,/history/apollo/apollo.html,HTTP/1.0
'30-06-1995 20:04:16',GET,/ksc.html,HTTP/1.0
'30-06-1995 20:04:18',GET,/ksc.html,HTTP/1.0
'30-06-1995 20:04:23',GET,/shuttle/missions/sts-67/mission-sts-67.html,HTTP/1.0
'30-06-1995 20:04:25',GET,/shuttle/technology/sts-newsref/stsref-toc.html,HTTP/1.0
'30-06-1995 20:04:26',GET,/shuttle/technology/sts-newsref/stsref-toc.html,HTTP/1.0
'30-06-1995 20:04:27',GET,/shuttle/technology/sts-newsref/centers.html,HTTP/1.0
'30-06-1995 20:04:27',GET,/shuttle/missions/sts-69/mission-sts-69.html,HTTP/1.0
'30-06-1995 20:04:27',GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0
'30-06-1995 20:04:28',GET,/history/history.html,HTTP/1.0
'30-06-1995 20:04:30',GET,/shuttle/missions/missions.html,HTTP/1.0
'30-06-1995 20:04:32',GET,/history/rocket-history.txt,HTTP/1.0
'30-06-1995 20:04:38',GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0
'30-06-1995 20:04:40',GET,/shuttle/technology/sts-newsref/stsref-toc.html,HTTP/1.0
'30-06-1995 20:04:40',GET,/facilities/vab.html,HTTP/1.0
'30-06-1995 20:04:44',GET,/shuttle/countdown/,HTTP/1.0
'30-06-1995 20:04:48',GET,/shuttle/missions/sts-78/mission-sts-78.html,HTTP/1.0
'30-06-1995 20:04:52',GET,/shuttle/countdown/,HTTP/1.0
'30-06-1995 20:04:55',GET,/history/apollo/apollo-13/apollo-13.html,HTTP/1.0
'30-06-1995 20:05:02',GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0
'30-06-1995 20:05:07',GET,/shuttle/,HTTP/1.0
'30-06-1995 20:05:09',GET,/shuttle/missions/61-c/mission-61-c.html,HTTP/1.0
'30-06-1995 20:05:14',GET,/shuttle/missions/sts-78/news/,HTTP/1.0
'30-06-1995 20:05:18',GET,/shuttle/missions/sts-78/mission-sts-78.html,HTTP/1.0
'30-06-1995 20:05:22',GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0
'30-06-1995 20:05:23',GET,/shuttle/missions/sts-78/,HTTP/1.0
'30-06-1995 20:05:24',GET,/history/early-astronauts.txt,HTTP/1.0
'30-06-1995 20:05:25',GET,/,HTTP/1.0
'30-06-1995 20:05:26',GET,/shuttle/countdown/liftoff.html,HTTP/1.0
'30-06-1995 20:05:29',GET,/shuttle/movies/,HTTP/1.0
'30-06-1995 20:05:30',GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0
'30-06-1995 20:05:43',GET,/shuttle/missions/sts-72/mission-sts-72.html,HTTP/1.0
'30-06-1995 20:05:46',GET,/shuttle/missions/sts-70/mission-sts-70.html,HTTP/1.0
'30-06-1995 20:05:53',GET,/history/skylab/skylab.html,HTTP/1.0
'30-06-1995 20:05:53',GET,/shuttle/missions/sts-71/movies/movies.html,HTTP/1.0
'30-06-1995 20:05:54',GET,/shuttle/countdown/,HTTP/1.0
'30-06-1995 20:05:55',GET,/ksc.html,HTTP/1.0
'30-06-1995 20:05:59',GET,/facts/faq04.html,HTTP/1.0
'30-06-1995 20:05:59',GET,/shuttle/missions/sts-72/news/,HTTP/1.0
'30-06-1995 20:06:00',GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0
'30-06-1995 20:06:01',GET,/shuttle/countdown/countdown.html,HTTP/1.0
'30-06-1995 20:06:02',GET,/history/history.html,HTTP/1.0
'30-06-1995 20:06:06',GET,/history/apollo/apollo-13/apollo-13.html,HTTP/1.0
'30-06-1995 20:06:06',GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0
'30-06-1995 20:06:15',GET,/history/history.html,HTTP/1.0
'30-06-1995 20:06:17',GET,/history/apollo/apollo-11/apollo-11-info.html,HTTP/1.0
'30-06-1995 20:06:19',GET,/whats-new.html,HTTP/1.0
'30-06-1995 20:06:20',GET,/shuttle/missions/missions.html,HTTP/1.0
'30-06-1995 20:06:27',GET,/facilities/lc39a.html,HTTP/1.0
'30-06-1995 20:06:28',GET,/shuttle/countdown/tour.html,HTTP/1.0
'30-06-1995 20:06:30',GET,/ksc.html,HTTP/1.0
'30-06-1995 20:06:33',GET,/history/apollo/apollo-11/images/,HTTP/1.0
'30-06-1995 20:06:35',GET,/shuttle/countdown/liftoff.html,HTTP/1.0
'30-06-1995 20:06:39',GET,/shuttle/countdown/,HTTP/1.0
'30-06-1995 20:06:43',GET,/history/mercury/mercury.html,HTTP/1.0
'30-06-1995 20:06:46',GET,/ksc.html,HTTP/1.0
'30-06-1995 20:06:54',GET,/shuttle/missions/sts-71/sts-71-day-04-highlights.html,HTTP/1.0
'30-06-1995 20:07:04',GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0
'30-06-1995 20:07:13',GET,/ksc.html,HTTP/1.0
'30-06-1995 20:07:13',GET,/shuttle/technology/sts-newsref/sts_egress.html,HTTP/1.0
'30-06-1995 20:07:14',GET,/shuttle/missions/sts-67/mission-sts-67.html,HTTP/1.0
'30-06-1995 20:07:20',GET,/software/winvn/winvn.html,HTTP/1.0
'30-06-1995 20:07:21',GET,/history/mercury/mr-3/mr-3.html,HTTP/1.0
'30-06-1995 20:07:23',GET,/software/winvn/winvn.html,HTTP/1.0
'30-06-1995 20:07:31',GET,/shuttle/countdown/,HTTP/1.0
'30-06-1995 20:07:33',GET,/htbin/cdt_main.pl,HTTP/1.0
'30-06-1995 20:07:34',GET,/shuttle/missions/sts-71/sts-71-day-04-highlights.html,HTTP/1.0
'30-06-1995 20:07:36',GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0
'30-06-1995 20:07:37',GET,/shuttle/countdown/,HTTP/1.0
'30-06-1995 20:07:42',GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0
'30-06-1995 20:07:44',GET,/history/mercury/ma-6/ma-6.html,HTTP/1.0
'30-06-1995 20:07:45',GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0
'30-06-1995 20:07:47',GET,/ksc.html,HTTP/1.0
'30-06-1995 20:07:50',GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0
'30-06-1995 20:07:57',GET,/history/skylab/skylab-2.html,HTTP/1.0
'30-06-1995 20:08:02',GET,/shuttle/countdown/,HTTP/1.0
'30-06-1995 20:08:05',GET,/shuttle/countdown/liftoff.html,HTTP/1.0
'30-06-1995 20:08:10',GET,/shuttle/missions/missions.html,HTTP/1.0
'30-06-1995 20:08:12',GET,/shuttle/countdown/,HTTP/1.0
'30-06-1995 20:08:22',GET,/,HTTP/1.0
'30-06-1995 20:08:28',GET,/shuttle/countdown/,HTTP/1.0
'30-06-1995 20:08:29',GET,/shuttle/technology/sts-newsref/sts-cron.html,HTTP/1.0
'30-06-1995 20:08:31',GET,/shuttle/missions/sts-71/images/ksc-95ec-0918.txt,HTTP/1.0
